                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.1284,                0.78914,                  1.121,                0.51842,                0.45911,                0.42468,                0.19033,                 1.7909,                 1.1103,                 1.5483,             0.00035224,             0.00035224,             0.00035224
                     84,                 1.1617,                0.79178,                 1.1206,                0.58169,                0.41344,                0.43478,                0.19194,                 1.8017,                 1.0942,                 1.5507,             0.00034933,             0.00034933,             0.00034933
                     85,                 1.1478,                0.88273,                 1.1598,                0.65285,                0.42739,                  0.464,                0.20518,                 1.7974,                 1.0635,                 1.5342,             0.00034642,             0.00034642,             0.00034642
                     86,                   1.11,                0.76998,                 1.1039,                0.66231,                0.40972,                0.45265,                0.20438,                 1.8018,                  1.054,                 1.5329,             0.00034351,             0.00034351,             0.00034351
                     87,                 1.1508,                0.83134,                 1.1418,                0.58387,                0.41368,                0.41927,                0.18931,                 1.8232,                 1.0554,                 1.5632,              0.0003406,              0.0003406,              0.0003406
                     88,                 1.1138,                0.79545,                  1.126,                0.68759,                0.38008,                0.39451,                0.17301,                 1.7882,                 1.1022,                 1.5565,             0.00033769,             0.00033769,             0.00033769
                     89,                 1.1223,                0.77121,                 1.1212,                0.67526,                0.37669,                0.42137,                0.18405,                 1.8098,                  1.079,                 1.5781,             0.00033478,             0.00033478,             0.00033478
                     90,                 1.0998,                0.77091,                 1.1095,                0.57482,                0.40083,                0.43405,                0.19634,                 1.8141,                 1.0494,                 1.5734,             0.00033187,             0.00033187,             0.00033187
                     91,                 1.0858,                0.75539,                 1.1127,                0.49107,                0.50467,                0.40943,                0.19491,                 1.7868,                 1.0496,                 1.5471,             0.00032896,             0.00032896,             0.00032896
                     92,                 1.1034,                0.75542,                 1.0965,                0.55396,                0.47756,                0.42421,                0.20012,                 1.7792,                 1.0629,                 1.5561,             0.00032605,             0.00032605,             0.00032605
                     93,                 1.1063,                0.76343,                 1.1034,                0.58362,                0.51493,                0.46326,                0.21949,                 1.7763,                  1.057,                  1.562,             0.00032314,             0.00032314,             0.00032314
                     94,                 1.1216,                0.75961,                 1.0993,                0.61627,                0.47208,                0.47203,                0.22729,                 1.7855,                  1.041,                 1.5557,             0.00032022,             0.00032022,             0.00032022
                     95,                  1.164,                0.79818,                 1.1341,                0.64865,                 0.4604,                0.45879,                0.21505,                 1.7881,                 1.0418,                 1.5409,             0.00031731,             0.00031731,             0.00031731
                     96,                 1.0679,                0.75779,                 1.0811,                0.57146,                0.45385,                0.46325,                0.21892,                 1.7703,                 1.0613,                 1.5232,              0.0003144,              0.0003144,              0.0003144
                     97,                 1.0766,                0.74057,                  1.089,                0.56304,                 0.4612,                  0.454,                0.21529,                 1.7617,                 1.0501,                 1.5263,             0.00031149,             0.00031149,             0.00031149
                     98,                 1.0699,                0.72786,                 1.0954,                0.57339,                0.44456,                0.46193,                0.21289,                 1.7519,                 1.0311,                 1.5104,             0.00030858,             0.00030858,             0.00030858
                     99,                 1.1075,                0.74328,                 1.0959,                0.62618,                0.46879,                0.47931,                0.21889,                 1.7568,                 1.0189,                 1.5242,             0.00030567,             0.00030567,             0.00030567
                    100,                 1.1776,                0.79992,                 1.1409,                0.67449,                0.42462,                0.49002,                0.22021,                 1.7697,                 1.0172,                 1.5377,             0.00030276,             0.00030276,             0.00030276
                    101,                 1.0725,                0.72654,                 1.0957,                0.63535,                0.42167,                0.47894,                0.21431,                 1.7738,                 1.0396,                 1.5201,             0.00029985,             0.00029985,             0.00029985
                    102,                 1.0514,                0.72755,                 1.0829,                0.57244,                0.46036,                0.47838,                0.20918,                 1.7787,                  1.052,                 1.5188,             0.00029694,             0.00029694,             0.00029694
                    103,                 1.0824,                0.73886,                 1.0952,                0.52912,                0.44012,                0.42735,                0.19706,                 1.7683,                 1.0279,                 1.5295,             0.00029403,             0.00029403,             0.00029403
                    104,                 1.0656,                0.73896,                 1.0701,                0.52215,                0.48381,                0.42585,                0.19968,                 1.7557,                 1.0907,                 1.5329,             0.00029112,             0.00029112,             0.00029112
                    105,                 1.0841,                0.73183,                 1.0784,                0.58164,                0.46954,                0.47245,                0.21175,                 1.7504,                 1.0704,                 1.5225,             0.00028821,             0.00028821,             0.00028821
